rank,artist,monthly_listeners,daily_change,peak_rank,peak_listeners,genre
1,Bruno Mars,135153284,-52411,1,151079821,Pop/R&B/Funk
2,The Weeknd,115270855,104649,1,126192069,R&B/Pop
3,Bad Bunny,109354219,-475700,2,123934765,Reggaeton/Latin Trap
4,Rihanna,107446720,150033,2,107446720,Pop/R&B
5,Taylor Swift,102250746,-69267,1,116229071,Pop/Country
6,Justin Bieber,98322328,-60854,2,123488891,Pop
7,Lady Gaga,94797588,-64404,2,124637761,Pop/Dance
8,Coldplay,91314338,67823,4,101505654,Rock/Alternative
9,Drake,87686667,167871,3,88716291,Hip-Hop/Rap
10,Billie Eilish,84839239,-91414,1,108297865,Indie Pop/Alternative
11,Ed Sheeran,82603948,-118255,2,102809026,Pop
12,David Guetta,82172420,87670,4,82747865,Electronic/Dance
13,Ariana Grande,81871881,5484,1,126970279,Pop/R&B
14,Shakira,78107339,103323,3,82268835,Latin Pop/Rock
15,J Balvin,76826428,-198657,11,85751171,Reggaeton
16,Maroon 5,74309137,9632,14,75143583,Pop/Rock
17,Kendrick Lamar,73421265,30779,4,112091210,Hip-Hop/Rap
18,Calvin Harris,73193556,164695,13,76334289,Electronic/Dance
19,Eminem,73021748,-56147,5,86389533,Hip-Hop/Rap
20,Harry Styles,71198999,252660,13,71198999,Pop/Rock
21,Kanye West,70112670,531469,6,78581428,Hip-Hop/Rap
22,SZA,68965612,144899,6,97852020,R&B/Soul
23,Pitbull,68787052,169551,22,68787052,Latin Pop/Hip-Hop
24,Zara Larsson,68426131,-29894,24,68498743,Pop/Dance
25,Katy Perry,65762672,201513,20,68464762,Pop
26,Dua Lipa,64792687,45737,3,78673675,Pop/Dance
27,Sabrina Carpenter,64369002,82499,4,90844193,Pop
28,Sia,64323929,117928,8,100120416,Pop/Dance
29,Daddy Yankee,63871743,8987,22,66859292,Reggaeton
30,Lana Del Rey,63718839,-23115,22,66553669,Indie Pop/Dream Pop
31,Michael Jackson,62681323,-49935,21,67640541,Pop/R&B
32,Olivia Dean,61967750,-7934,32,62143559,Soul/R&B/Pop
33,Post Malone,61578745,-89822,3,98466468,Hip-Hop/Pop
34,Sean Paul,61259425,183320,34,61259425,Dancehall/Reggae
35,Travis Scott,59899573,615675,6,75557671,Hip-Hop/Rap
36,Chris Brown,59171394,66774,25,60998566,R&B/Hip-Hop
37,sombr,58327485,46781,29,60443241,Indie Pop/Sad Pop
38,Black Eyed Peas,58035352,-11191,28,61377432,Pop/Hip-Hop
39,Adele,57441079,912,23,62764213,Soul/Pop
40,Doja Cat,56918439,61693,5,76357864,Pop/Hip-Hop
41,RAYE,55850614,142242,41,55850614,R&B/Soul/Pop
42,Miley Cyrus,55721375,384244,2,84140935,Pop/Rock
43,Rauw Alejandro,55348798,-108661,33,61676420,Reggaeton
44,Linkin Park,55290586,61681,29,60369972,Rock/Nu-Metal
45,Arctic Monkeys,54810969,-15687,36,56618863,Indie Rock/Alternative
46,Beyoncé,54324229,69843,6,78122541,Pop/R&B
47,Imagine Dragons,54013490,54991,18,62801774,Pop/Rock/Alternative
48,Arijit Singh,53789352,193745,39,56255270,Bollywood/Playback
49,Future,53730976,20498,22,65628348,Hip-Hop/Rap
50,Alex Warren,52973401,-77305,35,55736704,Pop
51,Ozuna,51961459,12927,40,53667513,Reggaeton
52,Khalid,51753124,130658,28,55253946,R&B/Pop
53,Shreya Ghoshal,51424030,61720,48,53470893,Bollywood/Playback
54,Queen,51406261,15200,28,66924652,Classic Rock
55,Halsey,51398571,142326,45,54839229,Alternative/Indie
56,KAROL G,50967056,-109714,21,63139763,Reggaeton/Latin Trap
57,Fleetwood Mac,50954578,149244,50,51309236,Classic Rock/Soft Rock
58,Sam Smith,50903168,26543,7,73972799,Pop/Soul
59,Tame Impala,50390484,437871,59,50390484,Psychedelic Rock/Indie
